time_index,stress_score,is_regime_shift,threshold
0,632.9549189069428,0,657.8956238741209
1,627.589417695055,0,657.8956238741209
2,630.7740689152624,0,657.8956238741209
3,637.5763513725942,0,657.8956238741209
4,638.7536011738204,0,657.8956238741209
5,637.6740792485017,0,657.8956238741209
6,637.343004588272,0,657.8956238741209
7,628.1761253690498,0,657.8956238741209
8,632.2415271416634,0,657.8956238741209
9,635.6763356683588,0,657.8956238741209
10,623.7876770392113,0,657.8956238741209
11,633.4200152954465,0,657.8956238741209
12,649.5842572176575,0,657.8956238741209
13,649.6151983286088,0,657.8956238741209
14,633.68574390963,0,657.8956238741209
15,621.6246270605902,0,657.8956238741209
16,623.2693944888047,0,657.8956238741209
17,634.795833301315,0,657.8956238741209
18,639.7794542411168,0,657.8956238741209
19,646.6839134888727,0,657.8956238741209
20,654.3387778914683,0,657.8956238741209
21,648.7041358891148,0,657.8956238741209
22,651.5568843683358,0,657.8956238741209
23,654.9735200489414,0,657.8956238741209
24,655.6084110456533,0,657.8956238741209
25,655.983074758201,0,657.8956238741209
26,641.0467121817221,0,657.8956238741209
27,630.4441351091964,0,657.8956238741209
28,632.5292055237092,0,657.8956238741209
29,637.7465773010748,0,657.8956238741209
30,640.4263453284696,0,657.8956238741209
31,639.7935923802274,0,657.8956238741209
32,637.983714155352,0,657.8956238741209
33,633.1025805600073,0,657.8956238741209
34,645.2611473730396,0,657.8956238741209
35,656.9818930794315,0,657.8956238741209
36,646.1428711235466,0,657.8956238741209
37,636.5792972541747,0,657.8956238741209
38,639.414895995848,0,657.8956238741209
39,633.5429782806241,0,657.8956238741209
40,633.3684430319096,0,657.8956238741209
41,641.4730115050731,0,657.8956238741209
42,647.7149871226954,0,657.8956238741209
43,648.6166000399221,0,657.8956238741209
44,640.793462097481,0,657.8956238741209
45,636.5785078241703,0,657.8956238741209
46,633.3779643828484,0,657.8956238741209
47,646.2105263157899,0,657.8956238741209
48,645.7243393968785,0,657.8956238741209
49,631.2582951996544,0,657.8956238741209
50,630.1044567378351,0,657.8956238741209
51,634.6113498819301,0,657.8956238741209
52,628.7934544716021,0,657.8956238741209
53,619.1049977960915,0,657.8956238741209
54,627.8079966917113,0,657.8956238741209
55,632.610240329071,0,657.8956238741209
56,630.9596800388356,0,657.8956238741209
57,638.7756291966829,0,657.8956238741209
58,639.7653157879924,0,657.8956238741209
59,646.3294888724852,0,657.8956238741209
60,640.0079823408591,0,657.8956238741209
61,607.0399724344767,0,657.8956238741209
62,609.0685955036155,0,657.8956238741209
63,642.3685662401892,0,657.8956238741209
64,642.5469010044197,0,657.8956238741209
65,627.9192584462124,0,657.8956238741209
66,637.5637402274087,0,657.8956238741209
